title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,na_sales_proportion,jp_sales_proportion,pal_sales_proportion,other_sales_proportion
Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,7.5,10.13,4.11,0.39,4.01,1.62,2013-11-05,0.40572556762092793,0.0384995064165844,0.3958538993089832,0.15992102665350444
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,9.3,9.97,7.08,0.08,2.01,0.8,2010-09-14,0.7101303911735205,0.00802407221664995,0.20160481444332995,0.0802407221664995
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,9.6,9.41,5.98,0.13,2.39,0.91,2007-11-05,0.6354941551540915,0.01381509032943677,0.25398512221041447,0.09670563230605739
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,0.1,2.83,0.85,2011-11-11,0.5743243243243242,0.01126126126126126,0.31869369369369366,0.09572072072072071
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,9.0,8.72,4.7,0.01,3.25,0.76,2014-11-18,0.5389908256880733,0.001146788990825688,0.3727064220183486,0.08715596330275228
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward,7.9,8.48,3.11,0.19,3.83,1.36,2016-11-04,0.3667452830188679,0.02240566037735849,0.4516509433962264,0.16037735849056603
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,0.27,3.97,1.34,2015-11-10,0.3431603773584906,0.031839622641509434,0.4681603773584906,0.1580188679245283
FIFA 16,PS4,Sports,EA Sports,EA Canada,8.5,8.22,1.15,0.07,5.77,1.23,2015-09-22,0.13990267639902673,0.00851581508515815,0.7019464720194646,0.14963503649635035
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE,7.1,8.03,3.31,0.23,3.19,1.3,2015-11-17,0.4122042341220424,0.028642590286425906,0.3972602739726028,0.16189290161892902
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,0.24,2.83,1.74,2005-10-25,0.3756476683937824,0.031088082901554404,0.36658031088082904,0.22538860103626943
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games,8.5,7.53,2.84,0.14,3.34,1.22,2014-11-04,0.3771580345285524,0.01859229747675963,0.44355909694555107,0.16201859229747675
Battlefield 3,X360,Shooter,Electronic Arts,Dice,8.5,7.35,4.47,0.06,2.12,0.69,2011-10-25,0.6081632653061224,0.00816326530612245,0.2884353741496599,0.09387755102040816
Battlefield 1,PS4,Shooter,Electronic Arts,EA DICE,9.1,7.26,2.2,0.29,3.65,1.12,2016-10-21,0.30303030303030304,0.03994490358126722,0.5027548209366391,0.15426997245179067
Battlefield 3,PS3,Shooter,Electronic Arts,Dice,8.5,7.21,2.86,0.35,2.94,1.07,2011-10-25,0.39667128987517336,0.04854368932038835,0.4077669902912621,0.14840499306518726
Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box,8.6,7.2,3.27,0.08,2.83,1.02,2003-11-17,0.45416666666666666,0.011111111111111112,0.39305555555555555,0.14166666666666666
